id,brand,model,year,fuel,kms,price,transmission
63051bf5373d71c7ae0de472,Mitsubishi,Galant,1999,p,260000.0,2000.0,
619e196504995d40df5fc9f2,BMW,X5,2019,d,119000.0,144900.0,
6332cef4a87652444000c662,Mercedes-Benz,E,2018,d,90000.0,79900.0,
62484f3d2ba842e7c3094bc3,Mercedes-Benz,C,2017,p,49000.0,74900.0,
6300b81d0e710970750f7ec2,Mercedes-Benz,E,2017,d,193000.0,69900.0,
62016313480a6e55b301f9d2,Mercedes-Benz,C,2019,d,74000.0,69900.0,
62c3e6a953c0e96a3a06bb02,Nissan,X-Trail,2019,d,61000.0,52900.0,
627552d254f7b7991006fd62,Mercedes-Benz,CL,2008,p,104000.0,49900.0,
60fdb193da154b0b260cdb02,BMW,550,2014,d,179000.0,48900.0,
61151f13885d5e205d4797b2,VW,Passat,2017,d,188000.0,43900.0,
62881777c3a1551a4306c5b3,Audi,Q5,2015,d,139000.0,42900.0,
62474be515f57fc6a9022493,Mercedes-Benz,C,2015,p,198000.0,39900.0,
631c7932009a757169073336,Kia,Optima,2017,d,178000.0,34900.0,
630a5bf6d2197119f80a3d92,Skoda,Octavia,2015,d,187000.0,33900.0,
61814394208e0d43a6627cd3,Mini,Cooper,2012,p,144000.0,19900.0,
6150d7d94c6c5253ed4a2a63,BMW,X3,2006,d,255000.0,9500.0,
62dacbe0cc6734a3d70efed2,Mercedes-Benz,C,2007,d,232000.0,9900.0,
62967ba5e9ade1cfa704f832,Mitsubishi,Colt,2006,p,149812.0,2450.0,
62f02486327c60a26800e562,Opel,Corsa,2003,d,191000.0,3600.0,
6318576995378d3e5b02a1a2,BMW,645,2004,p,245000.0,10000.0,
6305b1e16a1b58643b021044,Opel,Astra,2000,d,191000.0,3500.0,
633f0faf1eef75f06c019556,Opel,Meriva,2004,d,183000.0,2999.0,
6328cd56397a7946d3073432,Mercedes-Benz,C,2008,d,226476.0,12999.0,
63308f3329fbcd159c097bf2,BMW,X5,2005,d,214000.0,12500.0,
63008032cdf954a3020ee465,Mercedes-Benz,C,2003,d,265325.0,3300.0,
632c714fb40e1842880708d3,VW,Golf,2001,d,2345231.0,3300.0,
63300fc03920bdbeae0f2be2,VW,Tiguan,2009,d,213080.0,16500.0,
